district,longitude,latitude,dong,region_id
남구,126.63399643354994,37.45414345870855,용현5동,2309059
연수구,126.65742449526144,37.406142297482205,동춘1동,2304057
연수구,126.66657832800662,37.42509962211612,청학동,2304056
남구,126.64403061437524,37.46406228453243,숭의1·3동,2309075
남구,126.64641114987816,37.45758774359254,숭의1·3동,2309075
남구,126.6411649886189,37.45447862383157,용현5동,2309059
남구,126.6624011628338,37.4522180129471,용현1·4동,2309076
남구,126.67968474800192,37.44821720533458,주안7동,2309071
남구,126.68769772123464,37.45601180683981,주안2동,2309066
남구,126.67354925461142,37.46253639696292,도화1동,2309062
남구,126.67310009786767,37.468846524494666,도화1동,2309062
남구,126.68550583194136,37.46871818822384,주안5동,2309069
서구,126.68915299109656,37.4866831222428,가좌4동,2308065
서구,126.67761862284846,37.50383845286428,석남3동,2308060
서구,126.67580402597456,37.54851503057421,연희동,1113076
부평구,126.694237456503,37.47354490627009,십정1동,2308053
부평구,126.73325128839396,37.49110953197539,부평5동,2306070
부평구,126.7383447351566,37.48433081711024,부개1동,2306055
부평구,126.7047118118175,37.49679006318302,산곡3동,2306066
부평구,126.72124081304533,37.5056913063352,부평1동,2306059
부평구,126.73024193129386,37.50835648413963,부개3동,2306051
계양구,126.74417480224888,37.52901194765919,작전서운동,2306068
계양구,126.73248771950416,37.54651367077829,계산2동,2307058
부평구,126.72128572880952,37.489242060983145,부평2·6동,2307054
부평구,126.723181174059,37.516871588303474,갈산1동,2306063
중구,126.62516599340871,37.47149875880895,신포동,2301053
중구,126.6311577563538,37.47515611941748,동인천동,2301058
동구,126.63675426057388,37.47238281505069,금창동,2302064
남동구,126.70498130730108,37.467156745235016,간석4동,2305058
계양구,126.7297029430217,37.52968160482239,작전1동,2307056
남구,126.69159640866935,37.452282195271046,주안4동,2309068
