dong,code
연안동,2301052
신포동,2301053
신흥동,2301054
도원동,2301056
율목동,2301057
동인천동,2301058
개항동,2301060
용유동,2301063
운서동,2301064
영종동,2301065
영종1동,2301066
만석동,2302051
화수1·화평동,2302052
화수2동,2302053
송현1·2동,2302055
송현3동,2302057
송림1동,2302058
송림2동,2302059
송림3·5동,2302060
송림4동,2302061
송림6동,2302063
금창동,2302064
옥련1동,2304051
선학동,2304052
연수1동,2304053
연수2동,2304054
연수3동,2304055
청학동,2304056
동춘1동,2304057
동춘2동,2304058
동춘3동,2304059
옥련2동,2304060
송도1동,2304064
송도3동,2304065
송도2동,2304066
송도4동,2304068
송도5동,2304069
구월1동,2305051
구월2동,2305052
구월3동,2305053
구월4동,2305054
간석1동,2305055
간석2동,2305056
간석3동,2305057
간석4동,2305058
만수1동,2305059
만수2동,2305060
만수3동,2305061
만수4동,2305062
만수5동,2305063
만수6동,2305064
남촌도림동,2305067
논현1동,2305072
논현2동,2305073
논현고잔동,2305074
장수서창동,2305075
서창2동,2305076
부평1동,2306051
부평2동,2306052
부평3동,2306053
부평4동,2306054
부평5동,2306055
부평6동,2306056
산곡1동,2306057
산곡2동,2306058
산곡3동,2306059
산곡4동,2306060
청천1동,2306061
청천2동,2306062
갈산1동,2306063
갈산2동,2306064
삼산1동,2306065
부개1동,2306066
부개2동,2306067
부개3동,2306068
일신동,2306069
십정1동,2306070
십정2동,2306071
삼산2동,2306072
효성1동,2307051
효성2동,2307052
계산1동,2307053
계산2동,2307054
계산3동,2307055
작전1동,2307056
작전2동,2307057
작전서운동,2307058
계양2동,2307061
계산4동,2307062
계양1동,2307063
계양3동,2307064
검암경서동,2308051
연희동,2308053
가정1동,2308054
가정2동,2308055
가정3동,2308056
석남1동,2308058
석남2동,2308059
석남3동,2308060
가좌1동,2308062
가좌2동,2308063
가좌3동,2308064
가좌4동,2308065
신현원창동,2308073
청라1동,2308074
청라2동,2308078
청라3동,2308079
검단동,2308080
불로대곡동,2308081
오류왕길동,2308084
당하동,2308085
마전동,2308086
원당동,2308087
아라동,2308088
숭의2동,2309052
숭의4동,2309054
용현2동,2309056
용현3동,2309057
용현5동,2309059
학익1동,2309060
학익2동,2309061
도화1동,2309062
주안1동,2309065
주안2동,2309066
주안3동,2309067
주안4동,2309068
주안5동,2309069
주안6동,2309070
주안7동,2309071
주안8동,2309072
관교동,2309073
문학동,2309074
숭의1·3동,2309075
용현1·4동,2309076
도화2·3동,2309077
강화읍,2331011
선원면,2331031
불은면,2331032
길상면,2331033
화도면,2331034
양도면,2331035
내가면,2331036
하점면,2331037
양사면,2331038
송해면,2331039
교동면,2331040
삼산면,2331041
서도면,2331042
북도면,2332031
연평면,2332032
백령면,2332033
대청면,2332034
덕적면,2332035
자월면,2332036
영흥면,2332037
