,appnrsn,areanm,detailtp
0,2016.12.22.(1일강우량56.5mm)공암자수료를통행하던차량이급류에휩쓸려인명(사망1명)및재산(차량침수)피해발생함,경상남도양산시,잠수교
1,유실위험지구,경상남도의령군,
2,장기적인침수로인한시설물피해,경상남도의령군의령읍,
3,교량유실위험지구,경상남도의령군부림면,교량유실
4,"협소교량,계획홍수위보다교량고가낮음",경상남도함안군,유실위험시설
5,"경전선이계획홍수위아래위치,일우량200mm이상과홍수발령시상습침수",경상남도함안군가야읍,외수
6,노후교량으로교량여유고및경간장부족등(재난위험시설D긍급),경상북도울진군,침수및유실
7,"경작을위한주민이동이빈번하며,노후교량으로인명피해우려",경상북도울진군,침수및유실
8,삼달교의형하여유고부족,경상북도울진군평해읍,
9,수곡교의경간장및통수단면부족,경상북도울진군근남면,
10,평전교(잠수교)의형하여유고부족,경상북도울진군온정면,
11,급류로돌발성인명피해우려,전라북도남원시운봉읍,
12,유실우려,전라북도완주군운주면,
13,유실재해위험지구,전라북도완주군화산면,
14,하폭부족으로인한유실위험,전라북도진안군,유실위험
15,하폭부족으로인한침수위험,전라북도진안군성수면,유실위험
16,하폭부족으로인한침수위험,전라북도진안군마령면,유실위험
17,호안노후화및파손으로유실위험,전라북도장수군장수읍,하천
18,유실위험지구,전라북도장수군계남면,
19,미개수하천으로일우량180mm이상시상습침수지역임.,전라북도임실군,유실위험
20,하천폭및여유고부족,전라북도임실군,지방하천
21,하천폭및여유고부족,전라북도임실군임실읍,지방하천
22,"하천폭및여유고부족,세월교등으로재해위험상존",전라북도임실군성수면,지방하천
23,하천유실로인한주택및농경지피해우려,전라북도임실군성수면,지방하천
24,미개수하천으로일우량200mm이상시상습침수지역임.,전라북도임실군신덕면,지방하천
25,미개수하천으로하천폭이부족하고교량여유고부족,전라북도임실군신덕면,소하천
26,하천폭및여유고부족,전라북도임실군삼계면,소하천
27,하천폭및여유고부족으로재해위험상존,전라북도임실군관촌면,지방하천
28,하천범람으로인한하천유실,전라북도임실군관촌면,
29,재해발생위험,전라북도순창군동계면,
30,하천통수단면부족,충청남도예산군삽교읍,지방2급하천
31,하천통수단면부족,충청남도예산군대흥면,
32,나진교통수능부족,경기도김포시김포1동,교량유실
33,하천범람,경기도여주시,
34,하천범람,경기도여주시,
35,집중호우시유실위험,경기도여주시,
36,우수범람,경기도여주시,
37,집중호우시유실위험,경기도여주시,
38,하천범람,경기도여주시,
39,우수범람,경기도여주시,
40,하천통수단면부족으로하천수범람,강원도태백시황지동,유실
41,집중호우시도로및교량침수,강원도홍천군서석면,
42,집중호우시유실위험,강원도횡성군공근면,유실위험
43,하천범람으로유실위험지구,울산광역시울주군범서읍,유실위험지구
44,하천범람에의한교량유실위험,울산광역시울주군삼동면,유실위험지구
45,하천범람및시설물파손,충청북도보은군,제방유실
46,,충청남도당진시,
47,하폭협소및교량협소로인한재해시유실위험,충청남도금산군남일면,
48,하폭협소및교량협소로인한재해시유실위험,충청남도금산군복수면,
49,교량통수단면부족으로상류농경지침수위험,충청북도보은군마로면,방재시설
50,하천내통수단면저해구조물정비,충청북도보은군탄부면,농경지유실
51,제방미정비로농경지유실위험,충청북도보은군내북면,제방유실
52,하천기본계획보다교량길이와교량고가낮아침수,충청북도옥천군군서면,유실
53,유실위험,충청북도영동군,나등급
54,미개수하천으로집중호우시재해위험,충청북도괴산군,
55,유실위험,충청북도괴산군괴산읍,
56,하폭이좁고기존교량이낮아주변지역이월류,충청북도괴산군청천면,
57,유실위험,충청북도괴산군청천면,
58,미개수하천,충청북도괴산군청안면,
59,호우시유실및침수,충청북도음성군,
60,노전천의잦은범람및제방유실로인한농경지상습침수,충청남도보령시웅천읍,유실위험
61,개화천의잦은범람으로제방유실로인한주택및농경지상습침수,충청남도보령시성주면,유실위험
62,제방단면부족및구조물노후화,강원도양구군양구읍,
63,제방단면부족및구조물노후화,강원도양구군양구읍,
64,제방단면부족및구조물노후화,강원도양구군양구읍,
65,제방단면부족및구조물노후화,강원도양구군양구읍,
66,유실위험,강원도고성군간성읍,
67,유실위험/다등급,강원도고성군간성읍,
68,유실위험,강원도고성군죽왕면,
69,유실위험,강원도고성군죽왕면,
70,유실위험,강원도고성군토성면,
71,유실위험,충청남도천안시수신면,
72,저지대위치로하천범람으로주택및농경지침수,충청남도천안시부성동,
73,미정비하천으로집중호우시농경지침수및주택침수,충청남도당진군합덕읍,외수
74,계획홍수위이하의교량으로인한통수능장애발생,경기도광주시실촌읍,
75,"하천미개수로제방유실우려,제외농경지하상보다낮아내수침수",경기도여주군여주읍,
76,"하천미개수로제방유실우려,제외농경지하상보다낮아내수침수",경기도여주군여주읍,
77,하천의미개수로제방유실우려가있으며제외지의농경지가하상보다,경기도여주군여주읍,
78,미새수소하천으로인근지유실위험,경기도여주군점동면,
79,유실위험,경기도여주군점동면,
80,미개수하천,경기도여주군대신면,
81,하천의미개수로농경지가하상보다낮아내수침수발생,경기도여주군북내면,
82,하천의미개수로농경지가하상보다낮아내수침수발생,경기도여주군북내면,
83,주택및농경지침수,전라남도신안군압해면,
84,집중호우시제방및교량유실,강원도평창군도암면,
85,홍수로인한유실피해우려,강원도정선군동면,
86,여양교의부등침하및단면부족,경상북도울진군원남면,
87,우천시붕괴위험,전라남도영광군영광읍,
88,교량붕괴위험,전라남도영광군영광읍,
89,홍수위보다낮은교량,전라남도담양군봉산면,
90,홍수위보다낮은교량,전라남도담양군고서면,
91,홍수위보다낮은교량,전라남도담양군고서면,
92,홍수위보다낮은교량,전라남도담양군고서면,
93,홍수위보다낮은교량,전라남도담양군무정면,
94,홍수위보다낮은교량,전라남도담양군금성면,
95,통수단면부족에의한제방유실위험,전라남도담양군용면,
96,통수단면부족에의한제방유실위험,전라남도담양군용면,
97,통수단면부족에의한제방유실위험,전라남도담양군월산면,
98,홍수위보다낮은교량으로침수위험,전라남도담양군봉산면,
99,유실위험,전라남도고흥군포두면,
100,농경지유실및가옥침수,전라남도화순군남면,취락지구
101,호우시하천이범람하여피해발생,전라남도장흥군관산읍,
102,하천범람으로침수피해상존,전라남도장흥군관산읍,
103,호우시하천이범람하여피해발생,전라남도장흥군대덕읍,
104,하천범람으로침수피해상존,전라남도장흥군대덕읍,
105,매년홍수시제방범람으로농경지침관수및인근주택침수,전라남도장흥군장동면,외수
106,하천범람으로침수피해상존,전라남도장흥군유치면,
107,전소천우수유입량증가로홍수시주변유실우려,인천광역시중구영종동,유실위험지구
108,노후된교량경간장및여유고부족,경상북도경주시내남면,
109,노후교량경간장및여유고부족,경상북도경주시내남면,
110,하천의하폭과여유고부족으로호우시호안유실로인명피해우려,경상북도김천시,
111,교량상부구조가낮아통수단면부족,경상북도영덕군남정면,유실위험
112,"괴시교붕괴우려및유수의지장초래로농경지,주택침수위험",경상북도영덕군영해면,
113,집중호우및태풍래습시유수소통에장애로인한침수및유실위험,경상북도영덕군병곡면,
114,교량이하천폭보다짧고상부구조가낮아통수단면부족,경상북도영덕군창수면,
115,소라교의여유고부족으로인한상습침수지역,경상북도청도군화양읍,
116,2,경상북도고령군운수면,붕괴및유실
117,유실위험교량,경상북도성주군용암면,
118,유실위험교량,경상북도성주군가천면,
119,유실위험지구,경상북도성주군벽진면,
120,유실위험교량,경상북도성주군초전면,
121,인명및재산피해예상됨,경상북도성주군월항면,
122,유실위험,경상북도칠곡군북삼읍,
123,재해위헙지구지정관리,경상북도영주시,
124,재해위헙지구지정관리,경상북도영주시안정면,
125,교량통수단면부족으로상습침수피해,경상북도영천시금호읍,
126,통수단면부족으로인한유실위험,경상북도문경시,
127,통수단면부족으로인한유실위험,경상북도문경시문경읍,
128,유실위험,경상북도문경시가은읍,
129,유실위험,경상북도문경시가은읍,
130,통수단면부족으로인한유실위험,경상북도문경시가은읍,
131,통수단면부족으로인한유실위험,경상북도문경시산양면,
132,통수단면부족으로인한유실위험,경상북도문경시호계면,
133,통수단면부족으로인한유실위험,경상북도문경시호계면,
134,통수단면부족으로인한유실위험,경상북도문경시호계면,
135,통수단면부족으로인한유실위험,경상북도문경시산북면,
136,통수단면부족으로인한유실위험,경상북도문경시동로면,
137,통수단면부족으로인한유실위험,경상북도문경시농암면,
138,통수단면부족으로인한유실위험,경상북도문경시농암면,
139,남하잠수교유실위험,경상북도경산시하양읍,유실위험
140,"교량연장,경간장및형하여유고부족",경상북도군위군군위읍,
141,낮은교량,경상북도군위군군위읍,
142,홍수위보다낮은교량,경상북도군위군부계면,
143,홍수위보다낮은교량,경상북도군위군우보면,
144,교량이홍수위보다낮음,경상북도군위군우보면,
145,하천외수범람및내수배제불량,경상북도군위군산성면,유실
146,외수위상승으로주변농경지유실및침수우려,경상북도의성군춘산면,
147,하폭및통수단면부족으로인한침수우려,경상북도의성군가음면,
148,교량형하고및하천통수단면부족으로인한유실우려,경상북도의성군신평면,
149,긴급정밀점검결과D등급판정,전라남도영광군불갑면,
150,긴급정밀점검결과D등급판정,전라남도영광군불갑면,
151,붕괴위험,전라남도영광군불갑면,
152,긴급정밀점검결과D등급판정,전라남도영광군군남면,
153,유수소통에장애등,전라남도장성군황룡면,
154,유수소통에장애,전라남도장성군북하면,
155,주택및해안유실,전라남도신안군지도읍,
156,주택및농경지침식우려,전라남도신안군비금면,
157,주택침수및해안유실,전라남도신안군도초면,
158,제방뚝유실시농경지및주택침수우려가있음,전라남도신안군안좌면,
159,농경지침수,전라남도신안군팔금면,
160,하천기본계획경간장검토→경간장부족발생,경상북도포항시남구오천읍,
